# Structural comparison of de_CH/userGuide.t2t against de_CH/userGuide-newRevisions/14344/userGuide.t2t
de_CH 10.1. start:811 paragraphs:3, tables:0, lists:0
en 10.1.1. start:738 paragraphs:2, tables:1, lists:0
en 10.1.2. start:751 paragraphs:1, tables:0, lists:0
en 10.1.2.1. start:758 paragraphs:1, tables:0, lists:0
en 10.1.3. start:764 paragraphs:1, tables:0, lists:0
en 10.2. start:770 paragraphs:0, tables:0, lists:0
en 10.2.1. start:772 paragraphs:2, tables:1, lists:0
en 10.2.2. start:785 paragraphs:1, tables:0, lists:1
en 10.2.3. start:807 paragraphs:1, tables:0, lists:0
en 10.2.4. start:813 paragraphs:1, tables:0, lists:0
en 10.2.5. start:819 paragraphs:1, tables:0, lists:0
en 10.3. start:825 paragraphs:0, tables:1, lists:0
en 10.4. start:831 paragraphs:1, tables:1, lists:0
en 10.5. start:839 paragraphs:0, tables:1, lists:0
en 10.6. start:845 paragraphs:0, tables:1, lists:0
en 10.7. start:852 paragraphs:1, tables:1, lists:0
en 10.8. start:859 paragraphs:4, tables:0, lists:0
en 10.8.1. start:876 paragraphs:1, tables:0, lists:0
en 10.8.2. start:884 paragraphs:3, tables:0, lists:1
en 10.9. start:898 paragraphs:1, tables:1, lists:0
de_CH 11. start:822 paragraphs:1, tables:0, lists:0
en 11. start:906 paragraphs:0, tables:0, lists:0
de_CH 11.1. start:825 paragraphs:0, tables:0, lists:0
en 11.1. start:908 paragraphs:2, tables:0, lists:0
de_CH 11.1.1. start:827 paragraphs:2, tables:1, lists:0
en 11.1.1. start:918 paragraphs:11, tables:0, lists:0
de_CH 11.1.2. start:840 paragraphs:1, tables:0, lists:0
en 11.1.2. start:964 paragraphs:8, tables:0, lists:1
de_CH 11.1.2.1. start:847 paragraphs:1, tables:0, lists:0
de_CH 11.1.3. start:853 paragraphs:1, tables:0, lists:0
en 11.1.3. start:993 paragraphs:18, tables:0, lists:0
en 11.1.4. start:1068 paragraphs:1, tables:1, lists:0
en 11.1.5. start:1078 paragraphs:30, tables:0, lists:0
en 11.1.6. start:1199 paragraphs:18, tables:0, lists:0
en 11.1.7. start:1259 paragraphs:8, tables:0, lists:0
en 11.1.8. start:1289 paragraphs:2, tables:0, lists:0
en 11.1.9. start:1297 paragraphs:8, tables:0, lists:0
en 11.1.10. start:1321 paragraphs:15, tables:0, lists:1
en 11.1.11. start:1378 paragraphs:6, tables:0, lists:0
en 11.1.12. start:1409 paragraphs:14, tables:0, lists:0
en 11.1.13. start:1457 paragraphs:8, tables:0, lists:2
en 11.1.14. start:1520 paragraphs:2, tables:0, lists:0
en 11.1.15. start:1526 paragraphs:8, tables:0, lists:1
en 11.1.16. start:1560 paragraphs:6, tables:0, lists:1
en 11.1.17. start:1589 paragraphs:6, tables:0, lists:0
de_CH 11.2. start:859 paragraphs:0, tables:0, lists:0
en 11.2. start:1609 paragraphs:3, tables:1, lists:0
de_CH 11.2.1. start:861 paragraphs:2, tables:1, lists:0
de_CH 11.2.2. start:874 paragraphs:1, tables:0, lists:1
de_CH 11.2.3. start:896 paragraphs:5, tables:0, lists:0
de_CH 11.2.4. start:919 paragraphs:1, tables:0, lists:0
de_CH 11.2.5. start:925 paragraphs:1, tables:0, lists:0
de_CH 11.3. start:931 paragraphs:0, tables:1, lists:0
en 11.3. start:1624 paragraphs:3, tables:0, lists:0
en 11.3.1. start:1635 paragraphs:4, tables:0, lists:1
en 11.3.2. start:1651 paragraphs:3, tables:0, lists:0
en 11.3.3. start:1663 paragraphs:1, tables:0, lists:0
en 11.3.4. start:1671 paragraphs:4, tables:0, lists:1
en 11.3.5. start:1684 paragraphs:2, tables:0, lists:0
en 11.3.6. start:1692 paragraphs:1, tables:0, lists:0
de_CH 11.4. start:937 paragraphs:1, tables:1, lists:0
en 11.4. start:1697 paragraphs:3, tables:0, lists:0
de_CH 11.5. start:947 paragraphs:0, tables:1, lists:0
de_CH 11.6. start:953 paragraphs:0, tables:1, lists:0
de_CH 11.7. start:960 paragraphs:4, tables:0, lists:0
de_CH 11.7.1. start:977 paragraphs:1, tables:0, lists:0
de_CH 11.7.2. start:985 paragraphs:3, tables:0, lists:1
de_CH 11.8. start:999 paragraphs:1, tables:1, lists:0
de_CH 11.9. start:1007 paragraphs:1, tables:1, lists:0
de_CH 12. start:1022 paragraphs:1, tables:0, lists:0
en 12. start:1708 paragraphs:0, tables:0, lists:0
de_CH 12.1. start:1030 paragraphs:3, tables:0, lists:0
en 12.1. start:1710 paragraphs:2, tables:0, lists:0
de_CH 12.1.1. start:1045 paragraphs:15, tables:0, lists:3
de_CH 12.1.2. start:1124 paragraphs:22, tables:0, lists:0
de_CH 12.1.3. start:1216 paragraphs:8, tables:0, lists:1
de_CH 12.1.4. start:1245 paragraphs:1, tables:1, lists:0
de_CH 12.1.5. start:1255 paragraphs:24, tables:0, lists:0
de_CH 12.1.6. start:1366 paragraphs:9, tables:0, lists:0
de_CH 12.1.7. start:1394 paragraphs:8, tables:0, lists:1
de_CH 12.1.8. start:1432 paragraphs:16, tables:0, lists:1
de_CH 12.1.9. start:1490 paragraphs:10, tables:0, lists:0
de_CH 12.1.10. start:1527 paragraphs:3, tables:0, lists:0
de_CH 12.1.11. start:1542 paragraphs:8, tables:0, lists:0
de_CH 12.1.12. start:1566 paragraphs:15, tables:0, lists:2
de_CH 12.1.13. start:1625 paragraphs:6, tables:0, lists:0
de_CH 12.1.14. start:1655 paragraphs:16, tables:0, lists:0
de_CH 12.1.15. start:1721 paragraphs:7, tables:0, lists:2
de_CH 12.1.16. start:1786 paragraphs:2, tables:0, lists:0
de_CH 12.1.17. start:1793 paragraphs:13, tables:0, lists:0
de_CH 12.2. start:1857 paragraphs:1, tables:0, lists:0
en 12.2. start:1716 paragraphs:5, tables:0, lists:0
de_CH 12.2.1. start:1860 paragraphs:8, tables:0, lists:1
de_CH 12.2.2. start:1896 paragraphs:6, tables:0, lists:1
de_CH 12.2.3. start:1926 paragraphs:8, tables:0, lists:0
de_CH 12.3. start:1956 paragraphs:3, tables:1, lists:0
en 12.3. start:1731 paragraphs:10, tables:0, lists:0
de_CH 12.4. start:1971 paragraphs:3, tables:0, lists:0
en 12.4. start:1773 paragraphs:1, tables:0, lists:0
de_CH 12.4.1. start:1982 paragraphs:4, tables:0, lists:1
de_CH 12.4.2. start:1998 paragraphs:3, tables:0, lists:0
de_CH 12.4.3. start:2010 paragraphs:1, tables:0, lists:0
de_CH 12.4.4. start:2018 paragraphs:4, tables:0, lists:1
de_CH 12.4.5. start:2031 paragraphs:2, tables:0, lists:0
de_CH 12.4.6. start:2039 paragraphs:2, tables:0, lists:0
de_CH 12.4.7. start:2046 paragraphs:1, tables:0, lists:0
en 12.5. start:1777 paragraphs:1, tables:0, lists:0
de_CH 12.5. start:2054 paragraphs:3, tables:0, lists:0
en 13. start:1780 paragraphs:1, tables:0, lists:0
de_CH 13. start:2066 paragraphs:0, tables:0, lists:0
en 13.1. start:1784 paragraphs:3, tables:0, lists:0
de_CH 13.1. start:2068 paragraphs:2, tables:0, lists:0
en 13.2. start:1794 paragraphs:2, tables:0, lists:0
de_CH 13.2. start:2075 paragraphs:5, tables:0, lists:0
en 13.3. start:1801 paragraphs:1, tables:0, lists:0
de_CH 13.3. start:2090 paragraphs:4, tables:0, lists:0
