# Structural comparison of es_CO/userGuide.t2t against es_CO/userGuide-newRevisions/14512/userGuide.t2t
en 10.2. start:770 paragraphs:0, tables:0, lists:0
es_CO 10.2. start:804 paragraphs:0, tables:0, lists:0
en 10.2.1. start:772 paragraphs:2, tables:1, lists:0
es_CO 10.2.1. start:806 paragraphs:2, tables:1, lists:0
en 10.2.2. start:785 paragraphs:1, tables:0, lists:1
es_CO 10.2.2. start:819 paragraphs:1, tables:0, lists:1
en 10.2.3. start:807 paragraphs:1, tables:0, lists:0
es_CO 10.2.3. start:841 paragraphs:1, tables:0, lists:0
en 10.2.4. start:813 paragraphs:1, tables:0, lists:0
es_CO 10.2.4. start:847 paragraphs:1, tables:0, lists:0
en 10.2.5. start:819 paragraphs:1, tables:0, lists:0
es_CO 10.2.5. start:853 paragraphs:1, tables:0, lists:0
en 10.3. start:825 paragraphs:0, tables:1, lists:0
es_CO 10.3. start:859 paragraphs:0, tables:1, lists:0
en 10.4. start:831 paragraphs:1, tables:1, lists:0
es_CO 10.4. start:865 paragraphs:1, tables:1, lists:0
en 10.5. start:839 paragraphs:0, tables:1, lists:0
es_CO 10.5. start:875 paragraphs:0, tables:1, lists:0
en 10.6. start:845 paragraphs:0, tables:1, lists:0
es_CO 10.6. start:881 paragraphs:0, tables:1, lists:0
en 10.7. start:852 paragraphs:1, tables:1, lists:0
es_CO 10.7. start:888 paragraphs:1, tables:1, lists:0
en 10.8. start:859 paragraphs:4, tables:0, lists:0
es_CO 10.8. start:895 paragraphs:4, tables:0, lists:0
en 10.8.1. start:876 paragraphs:1, tables:0, lists:0
es_CO 10.8.1. start:912 paragraphs:1, tables:0, lists:0
en 10.8.2. start:884 paragraphs:3, tables:0, lists:1
es_CO 10.8.2. start:920 paragraphs:3, tables:0, lists:1
en 10.9. start:898 paragraphs:1, tables:1, lists:0
es_CO 10.9. start:934 paragraphs:1, tables:1, lists:0
en 11. start:906 paragraphs:0, tables:0, lists:0
es_CO 11. start:942 paragraphs:1, tables:0, lists:0
en 11.1. start:908 paragraphs:2, tables:0, lists:0
es_CO 11.1. start:950 paragraphs:3, tables:0, lists:0
en 11.1.1. start:918 paragraphs:11, tables:0, lists:0
es_CO 11.1.1. start:965 paragraphs:15, tables:0, lists:3
en 11.1.2. start:964 paragraphs:8, tables:0, lists:1
es_CO 11.1.2. start:1041 paragraphs:21, tables:0, lists:0
en 11.1.3. start:993 paragraphs:18, tables:0, lists:0
es_CO 11.1.3. start:1131 paragraphs:8, tables:0, lists:1
en 11.1.4. start:1068 paragraphs:1, tables:1, lists:0
es_CO 11.1.4. start:1160 paragraphs:1, tables:1, lists:0
en 11.1.5. start:1078 paragraphs:30, tables:0, lists:0
es_CO 11.1.5. start:1170 paragraphs:24, tables:0, lists:0
en 11.1.6. start:1199 paragraphs:18, tables:0, lists:0
es_CO 11.1.6. start:1276 paragraphs:9, tables:0, lists:0
en 11.1.7. start:1259 paragraphs:8, tables:0, lists:0
es_CO 11.1.7. start:1304 paragraphs:16, tables:0, lists:1
en 11.1.8. start:1289 paragraphs:2, tables:0, lists:0
es_CO 11.1.8. start:1362 paragraphs:10, tables:0, lists:0
en 11.1.9. start:1297 paragraphs:8, tables:0, lists:0
es_CO 11.1.9. start:1399 paragraphs:2, tables:0, lists:0
en 11.1.10. start:1321 paragraphs:15, tables:0, lists:1
es_CO 11.1.10. start:1408 paragraphs:8, tables:0, lists:0
en 11.1.11. start:1378 paragraphs:6, tables:0, lists:0
es_CO 11.1.11. start:1432 paragraphs:14, tables:0, lists:1
en 11.1.12. start:1409 paragraphs:14, tables:0, lists:0
es_CO 11.1.12. start:1488 paragraphs:6, tables:0, lists:0
en 11.1.13. start:1457 paragraphs:8, tables:0, lists:2
es_CO 11.1.13. start:1518 paragraphs:14, tables:0, lists:0
en 11.1.14. start:1520 paragraphs:2, tables:0, lists:0
es_CO 11.1.14. start:1573 paragraphs:7, tables:0, lists:2
en 11.1.15. start:1526 paragraphs:8, tables:0, lists:1
es_CO 11.1.15. start:1633 paragraphs:2, tables:0, lists:0
en 11.1.16. start:1560 paragraphs:6, tables:0, lists:1
es_CO 11.1.16. start:1640 paragraphs:13, tables:0, lists:0
en 11.1.17. start:1589 paragraphs:6, tables:0, lists:0
en 11.2. start:1609 paragraphs:3, tables:1, lists:0
es_CO 11.2. start:1696 paragraphs:1, tables:0, lists:0
es_CO 11.2.1. start:1699 paragraphs:8, tables:0, lists:1
es_CO 11.2.2. start:1733 paragraphs:6, tables:0, lists:1
es_CO 11.2.3. start:1763 paragraphs:6, tables:0, lists:0
en 11.3. start:1624 paragraphs:3, tables:0, lists:0
es_CO 11.3. start:1783 paragraphs:3, tables:1, lists:0
en 11.3.1. start:1635 paragraphs:4, tables:0, lists:1
en 11.3.2. start:1651 paragraphs:3, tables:0, lists:0
en 11.3.3. start:1663 paragraphs:1, tables:0, lists:0
en 11.3.4. start:1671 paragraphs:4, tables:0, lists:1
en 11.3.5. start:1684 paragraphs:2, tables:0, lists:0
en 11.3.6. start:1692 paragraphs:1, tables:0, lists:0
es_CO 11.4. start:1798 paragraphs:3, tables:0, lists:0
en 11.4. start:1697 paragraphs:3, tables:0, lists:0
es_CO 11.4.1. start:1809 paragraphs:4, tables:0, lists:1
es_CO 11.4.2. start:1825 paragraphs:3, tables:0, lists:0
es_CO 11.4.3. start:1837 paragraphs:1, tables:0, lists:0
es_CO 11.4.4. start:1845 paragraphs:4, tables:0, lists:1
es_CO 11.4.5. start:1858 paragraphs:2, tables:0, lists:0
es_CO 11.4.6. start:1866 paragraphs:2, tables:0, lists:0
es_CO 11.4.7. start:1873 paragraphs:1, tables:0, lists:0
es_CO 11.5. start:1881 paragraphs:3, tables:0, lists:0
en 12. start:1708 paragraphs:0, tables:0, lists:0
es_CO 12. start:1892 paragraphs:0, tables:0, lists:0
en 12.1. start:1710 paragraphs:2, tables:0, lists:0
es_CO 12.1. start:1894 paragraphs:1, tables:0, lists:0
en 12.2. start:1716 paragraphs:5, tables:0, lists:0
es_CO 12.2. start:1900 paragraphs:5, tables:0, lists:0
en 12.3. start:1731 paragraphs:10, tables:0, lists:0
es_CO 12.3. start:1915 paragraphs:10, tables:0, lists:0
en 12.4. start:1774 paragraphs:1, tables:0, lists:0
es_CO 12.4. start:1959 paragraphs:2, tables:0, lists:1
en 12.5. start:1778 paragraphs:1, tables:0, lists:0
es_CO 12.5. start:1973 paragraphs:1, tables:0, lists:0
es_CO 12.6. start:1977 paragraphs:1, tables:0, lists:0
en 13. start:1781 paragraphs:1, tables:0, lists:0
es_CO 13. start:1980 paragraphs:1, tables:0, lists:0
en 13.1. start:1785 paragraphs:3, tables:0, lists:0
es_CO 13.1. start:1984 paragraphs:3, tables:0, lists:0
en 13.2. start:1795 paragraphs:2, tables:0, lists:0
es_CO 13.2. start:1994 paragraphs:2, tables:0, lists:0
en 13.3. start:1802 paragraphs:1, tables:0, lists:0
es_CO 13.3. start:2001 paragraphs:1, tables:0, lists:0
en 13.4. start:1807 paragraphs:2, tables:0, lists:1
es_CO 13.4. start:2006 paragraphs:2, tables:0, lists:1
en 13.5. start:1820 paragraphs:3, tables:0, lists:0
es_CO 13.5. start:2019 paragraphs:3, tables:0, lists:0
en 13.6. start:1831 paragraphs:2, tables:0, lists:0
es_CO 13.6. start:2030 paragraphs:2, tables:0, lists:0
en 14. start:1838 paragraphs:1, tables:0, lists:0
es_CO 14. start:2037 paragraphs:1, tables:0, lists:0
en 14.1. start:1841 paragraphs:5, tables:3, lists:0
es_CO 14.1. start:2040 paragraphs:2, tables:0, lists:1
en 14.2. start:1900 paragraphs:4, tables:1, lists:0
es_CO 14.2. start:2056 paragraphs:5, tables:3, lists:0
en 14.3. start:1952 paragraphs:3, tables:1, lists:1
es_CO 14.3. start:2117 paragraphs:4, tables:1, lists:0
en 14.4. start:1986 paragraphs:2, tables:1, lists:0
es_CO 14.4. start:2169 paragraphs:3, tables:1, lists:1
en 14.5. start:2006 paragraphs:6, tables:2, lists:1
es_CO 14.5. start:2203 paragraphs:3, tables:1, lists:0
en 14.6. start:2042 paragraphs:2, tables:1, lists:0
es_CO 14.6. start:2225 paragraphs:6, tables:2, lists:1
en 14.7. start:2059 paragraphs:2, tables:1, lists:0
es_CO 14.7. start:2261 paragraphs:3, tables:1, lists:0
en 14.8. start:2076 paragraphs:2, tables:1, lists:0
es_CO 14.8. start:2280 paragraphs:3, tables:1, lists:0
en 14.9. start:2107 paragraphs:2, tables:1, lists:0
es_CO 14.9. start:2299 paragraphs:3, tables:0, lists:0
es_CO 14.9.1. start:2308 paragraphs:0, tables:1, lists:0
es_CO 14.9.2. start:2333 paragraphs:0, tables:1, lists:0
es_CO 14.9.3. start:2341 paragraphs:0, tables:1, lists:0
en 14.10. start:2179 paragraphs:2, tables:1, lists:0
es_CO 14.10. start:2351 paragraphs:2, tables:1, lists:0
en 14.11. start:2201 paragraphs:8, tables:3, lists:2
es_CO 14.11. start:2423 paragraphs:3, tables:1, lists:0
en 14.12. start:2282 paragraphs:8, tables:4, lists:1
es_CO 14.12. start:2447 paragraphs:9, tables:3, lists:2
en 14.13. start:2365 paragraphs:4, tables:1, lists:1
es_CO 14.13. start:2529 paragraphs:8, tables:4, lists:1
en 14.14. start:2413 paragraphs:3, tables:1, lists:1
es_CO 14.14. start:2613 paragraphs:9, tables:3, lists:1
en 14.15. start:2448 paragraphs:1, tables:1, lists:0
es_CO 14.15. start:2705 paragraphs:3, tables:1, lists:1
en 14.16. start:2458 paragraphs:3, tables:1, lists:0
es_CO 14.16. start:2741 paragraphs:1, tables:1, lists:0
